holiday,date
New Years Day,1/2/2023
Martin Luther King Jr. Day,1/16/2023
Presidents Day,2/20/2023
Memorial Day,5/29/2023
Independence Day,7/4/2023
Labor Day,9/4/2023
Veterans Day  ,11/11/2023
Thanksgiving,11/23/2023
Thanksgiving,11/24/2023
Winter break,12/25/2023
Winter break,12/26/2023
Winter break,12/27/2023
Winter break,12/28/2023
Winter break,12/29/2023
Winter break,12/30/2023
Winter break,12/31/2023
New Years Day,1/1/2024
New Years Day,1/1/2022
Martin Luther King Jr. Day,1/17/2022
Presidents Day,2/21/2022
Memorial Day,5/30/2022
Independence Day,7/4/2022
Labor Day,9/5/2022
Veterans Day  ,11/11/2022
Thanksgiving,11/24/2022
Thanksgiving,11/25/2022
Winter break,12/23/2022
Winter break,12/24/2022
Winter break,12/25/2022
Winter break,12/26/2022
Winter break,12/27/2022
Winter break,12/28/2022
Winter break,12/29/2022
Winter break,12/30/2022
New Years Day,12/31/2021
Martin Luther King Jr. Day,1/18/2021
Presidents Day,2/15/2021
Memorial Day,5/31/2021
Independence Day,7/4/2021
Labor Day,9/6/2021
Veterans Day  ,11/11/2021
Thanksgiving,11/25/2021
Thanksgiving,11/26/2021
Winter break,12/23/2021
Winter break,12/24/2021
Winter break,12/25/2021
Winter break,12/26/2021
Winter break,12/27/2021
Winter break,12/28/2021
Winter break,12/29/2021
Winter break,12/30/2021
Other,1/2/2017
Other,1/16/2017
Other,2/20/2017
Other,5/29/2017
Other,7/4/2017
Other,9/4/2017
Other,11/10/2017
Other,11/23/2017
Other,11/24/2017
Other,12/22/2017
Other,12/25/2017
Other,12/26/2017
Other,12/27/2017
Other,12/28/2017
Other,12/29/2017
Other,1/1/2018
Other,1/15/2018
Other,2/19/2018
Other,4/28/2018
Other,7/4/2018
Other,9/3/2018
Other,11/12/2018
Other,11/22/2018
Other,11/23/2018
Other,12/24/2018
Other,12/25/2018
Other,12/26/2018
Other,12/27/2018
Other,12/28/2018
Other,12/31/2018
Other,1/1/2019
Other,1/21/2019
Other,2/18/2019
Other,5/27/2019
Other,7/4/2019
Other,9/2/2019
Other,11/11/2019
Other,11/28/2019
Other,11/29/2019
Other,12/24/2019
Other,12/25/2019
Other,12/26/2019
Other,12/27/2019
Other,12/30/2019
Other,12/31/2019
Other,1/1/2020
Other,1/20/2020
Other,2/17/2020
Other,5/25/2020
Other,7/3/2020
Other,9/7/2020
Other,11/11/2020
Other,11/26/2020
Other,11/27/2020
Other,12/24/2020
Other,12/25/2020
Other,12/28/2020
Other,12/29/2020
Other,12/30/2020
Other,12/31/2020
Other,1/1/2021
